"idAddress","Address","Adress2","District","PostalCode","Phone","City","Country"
222,"1168 Najafabad Parkway","","Kabol","40301","886649065861","Kabul","Afghanistan"
446,"1924 Shimonoseki Drive","","Batna","52625","406784385440","Batna","Algeria"
73,"1031 Daugavpils Parkway","","Bchar","59025","107137400143","Bchar","Algeria"
180,"757 Rustenburg Avenue","","Skikda","89668","506134035434","Skikda","Algeria"
325,"1892 Nabereznyje Telny Lane","","Tutuila","28396","478229987054","Tafuna","American Samoa"
534,"486 Ondo Parkway","","Benguela","35202","105882218332","Benguela","Angola"
388,"368 Hunuco Boulevard","","Namibe","17165","106439158941","Namibe","Angola"
386,"1368 Maracabo Boulevard","","","32716","934352415130","South Hill","Anguilla"
364,"1623 Kingstown Drive","","Buenos Aires","91299","296394569728","Almirante Brown","Argentina"
566,"1229 Varanasi (Benares) Manor","","Buenos Aires","40195","817740355461","Avellaneda","Argentina"
327,"1427 A Corua (La Corua) Place","","Buenos Aires","85799","972574862516","Baha Blanca","Argentina"
28,"96 Tafuna Way","","Crdoba","99865","934730187245","Crdoba","Argentina"
450,"203 Tambaram Street","","Buenos Aires","73942","411549550611","Escobar","Argentina"
536,"166 Jinchang Street","","Buenos Aires","86760","717566026669","Ezeiza","Argentina"
93,"1926 El Alto Avenue","","Buenos Aires","75543","846225459260","La Plata","Argentina"
111,"1532 Dzerzinsk Way","","Buenos Aires","9599","330838016880","Merlo","Argentina"
591,"773 Dallas Manor","","Buenos Aires","12664","914466027044","Quilmes","Argentina"
247,"1483 Pathankot Street","","Tucumn","37288","686015532180","San Miguel de Tucumn","Argentina"
336,"430 Kumbakonam Drive","","Santa F","28814","105470691550","Santa F","Argentina"
410,"88 Nagaon Manor","","Buenos Aires","86868","779461480495","Tandil","Argentina"
223,"1244 Allappuzha (Alleppey) Place","","Buenos Aires","20657","991802825778","Vicente Lpez","Argentina"
45,"42 Brindisi Place","","Yerevan","16744","42384721397","Yerevan","Armenia"
2,"28 MySQL Boulevard",,"QLD","","","Woodridge","Australia"
4,"1411 Lillydale Drive",,"QLD","","6172235589","Woodridge","Australia"
177,"1010 Klerksdorp Way","","Steiermark","6802","493008546874","Graz","Austria"
163,"1440 Compton Place","","North Austria","81037","931059836497","Linz","Austria"
271,"1587 Loja Manor","","Salzburg","5410","621625204422","Salzburg","Austria"
338,"431 Szkesfehrvr Avenue","","Baki","57828","119501405123","Baku","Azerbaijan"
339,"503 Sogamoso Loop","","Sumqayit","49812","834626715837","Sumqayit","Azerbaijan"
596,"1759 Niznekamsk Avenue","","al-Manama","39414","864392582257","al-Manama","Bahrain"
337,"1838 Tabriz Lane","","Dhaka","1195","38988715447","Dhaka","Bangladesh"
334,"1816 Bydgoszcz Loop","","Dhaka","64308","965273813662","Jamalpur","Bangladesh"
25,"262 A Corua (La Corua) Parkway","","Dhaka","34418","892775750063","Tangail","Bangladesh"
533,"556 Asuncin Way","","Mogiljov","35364","338244023543","Mogiljov","Belarus"
148,"1027 Songkhla Manor","","Minsk","30861","563660187896","Molodetno","Belarus"
460,"659 Gatineau Boulevard","","La Paz","28587","205524798287","El Alto","Bolivia"
436,"287 Cuautla Boulevard","","Chuquisaca","72736","82619513349","Sucre","Bolivia"
557,"1407 Pachuca de Soto Place","","Rio Grande do Sul","26284","380077794770","Alvorada","Brazil"
312,"1354 Siegen Street","","Rio de Janeiro","80184","573441801529","Angra dos Reis","Brazil"
233,"356 Olomouc Manor","","Gois","93323","22326410776","Anpolis","Brazil"
220,"1201 Qomsheh Manor","","Gois","21464","873492228462","Aparecida de Goinia","Brazil"
81,"1692 Ede Loop","","So Paulo","9223","918711376618","Araatuba","Brazil"
403,"1190 0 Place","","Rio Grande do Sul","10417","841876514789","Bag","Brazil"
367,"1163 London Parkway","","Par","6066","675120358494","Belm","Brazil"
210,"1304 s-Hertogenbosch Way","","Santa Catarina","10925","90336226227","Blumenau","Brazil"
347,"1293 Nam Dinh Way","","Roraima","71583","697656479977","Boa Vista","Brazil"
330,"981 Kumbakonam Place","","Distrito Federal","87611","829116184079","Braslia","Brazil"
96,"984 Effon-Alaiye Avenue","","Gois","17119","132986892228","Goinia","Brazil"
432,"259 Ipoh Drive","","So Paulo","64964","419009857119","Guaruj","Brazil"
